開札日,執行課名,事業担当課名,発注年度,工事番号名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
20090323,伊都産業振興部,森林整備課,平成20年度,水地第3号,水源流域地域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,伊都郡　かつらぎ町　,大字花園久木　　　　,地内　　　　　　　　,広門興業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,23396100,18404030,22186500,5,条件付一般競争入札
20090317,西牟婁産業振興部,森林整備課,平成20年度,水広第3号-1,水源流域広域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,林建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10632300,8739579,8872500,11,条件付一般競争入札
20090317,西牟婁産業振興部,森林整備課,平成20年度,水広第3号-2,水源流域広域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,龍神村丹生ノ川坂田井,地内　　　　　　　　,横手組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,10848600,8953507,9159150,11,条件付一般競争入札
20090316,日高産業振興部,森林整備課,平成20年度,水地第4号-1,水源流域地域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,田尻　　　　　　　　,本谷地内　　　　　　,児玉建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,19430250,15548053,15548400,22,条件付一般競争入札
20090316,日高産業振興部,森林整備課,平成20年度,水地第4号-2,水源流域地域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,田尻　　　　　　　　,本谷地内　　　　　　,西川興業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,8482950,6814382,6821850,20,条件付一般競争入札
20090316,西牟婁産業振興部,森林整備課,平成20年度,復旧第10号-3,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,中辺路町大内川柳谷　,地内　　　　　　　　,（株）豊建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,43999200,35049861,35753550,15,条件付一般競争入札（総合評価）
20090316,西牟婁産業振興部,森林整備課,平成20年度,復旧第13号-3,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,田辺市　　　　　　　,本宮町三越広畑平　　,地内　　　　　　　　,（株）豊建設　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,37154250,29621796,29919750,13,条件付一般競争入札（総合評価）
20090313,有田産業振興部,森林整備課,平成20年度,復旧第4号-2,復旧治山事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,有田郡有田川町大字　,粟生字西大和杉　　　,地内　　　　　　　　,（株）谷組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,95520600,78081150,78855000,15,条件付一般競争入札（総合評価）
20090312,日高産業振興部,森林整備課,平成20年度,水地第2号-8,水源流域地域保全事業　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,日高郡　日高川町　　,田尻　　　　　　　　,本谷地内　　　　　　,（株）信濃組　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,40418700,32773692,32774700,17,条件付一般競争入札（総合評価）
20090309,伊都産業振興部,農業農村整備課,平成20年度,畑総第3号-7,畑地帯総合整備事業　河根地区　１号団地農道舗装工事　　　　　　　　　　　　　　　,伊都郡　九度山町　　,河根　　　　　　　　,地内　　　　　　　　,司建設工業（株）　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,24612000,19959718,20107500,7,条件付一般競争入札
