平成２３年４月１日から平成２４年３月31日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課名,工事・業務番号,工事・業務名,工事場所,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20120327,西牟婁地域振興部,森林整備課,平成２３年度　災害関連　第１８号,災害関連緊急治山事業,田辺市中辺路町石船上平地内,川口建設株式会社,23251200,20260488,23247000,1,一般競争入札
20120327,東牟婁地域振興部,農業農村整備課,平成２３年度　防ダム　第１号－５２,小匠ダム付替道路実施設計業務,東牟婁郡那智勝浦町小匠地内,有限会社岡本土木技術,8578500,6549806,6606306,19,一般競争入札
20120327,東牟婁地域振興部,農業農村整備課,平成２３年度　防ダム　第１号－５３,小匠ダム付替道路測量業務,東牟婁郡那智勝浦町小匠地内,みくまの測地,2047500,1526918,1832250,6,一般競争入札
20120327,東牟婁地域振興部,農業農村整備課,平成２３年度　防ダム　第１号－５４,小匠ダム付替道路調査業務,東牟婁郡那智勝浦町小匠地内,有限会社岡本土木技術,3139500,2561840,2566200,17,一般競争入札
20120327,西牟婁地域振興部,森林整備課,平成２３年度　復旧　第６号－４,復旧治山事業,田辺市本宮町高山吹越谷  地内,株式会社伊藤組,24739050,21268239,23940000,4,一般競争入札
20120323,伊都地域振興部,農業農村整備課,平成２３年度　中山間防　第１号－２,中山間総合農地防災事業　恋野地区　管理用道路法面保護工事,橋本市恋野・只野地内,重谷組,14479500,12725546,12727260,13,一般競争入札
20120323,伊都地域振興部,森林整備課,平成２３年度　補正・予防　第１号－１,予防治山事業設計業務,伊都郡かつらぎ町大字花園北寺字高野谷地内,有限会社尾崎測量設計,1768200,1328654,1345050,10,一般競争入札
20120322,西牟婁地域振興部,森林整備課,平成２３年度　災害関連　第１９号,災害関連緊急治山事業,田辺市本宮町本宮口赤井谷地内,株式会社小原工務店,51074100,44568294,48520500,4,一般競争入札（総合評価）
20120321,伊都地域振興部,森林整備課,平成２３年度　県防　第５３号,県土防災対策治山事業,伊都郡かつらぎ町大字花園梁瀬字栂尾地内,竹本組,"1,015,350","862,508","1,008,000",4,一般競争入札
20120321,日高地域振興部,森林整備課,平成２３年度　県防　第５１号,県土防災対策治山事業,日高郡日高川町大字　田尻　字　本谷　地内,ミドリ環境,"5,334,000","4,536,359","4,593,750",9,一般競争入札
20120321,日高地域振興部,森林整備課,平成２３年度　災害関連　第１２号,災害関連緊急治山事業,日高郡印南町大字　川又　字　小潰　地内,株式会社長田組,"73,656,450","65,964,074","72,870,000",3,一般競争入札（総合評価）
20120319,伊都地域振興部,森林整備課,平成２３年度　県防　第５４号,県土防災対策治山事業,伊都郡かつらぎ町大字花園中南字有畝地内,奈和建設株式会社,"6,567,750","5,542,267","5,612,250",5,一般競争入札
20120313,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第１号,災害関連緊急治山事業,東牟婁郡古座川町松根字下向地内,有限会社竹本組,"65,657,550","57,713,822","58,149,000",4,一般競争入札（総合評価）
20120313,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第３６号－１,災害関連緊急治山事業設計業務,東牟婁郡古座川町小森川字　高畑　地内,有限会社牟婁測量設計,"806,400","615,015","761,250",6,一般競争入札
20120313,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第３５号－１,災害関連緊急治山事業設計業務,東牟婁郡那智勝浦町高津気字　峰　地内,小原測量,"909,300","651,492","863,835",5,一般競争入札
20120313,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第３２号－１,災害関連緊急治山事業設計業務,東牟婁郡那智勝浦町小阪字　小栗須　地内,有限会社牟婁測量設計,"604,800","439,919","571,200",6,一般競争入札
20120313,東牟婁地域振興部,森林整備課,平成２３年度　災害関連　第３４号－１,災害関連緊急治山事業設計業務,東牟婁郡那智勝浦町天満字　尼ヶ谷　地内,有限会社牟婁測量設計,"1,320,900","1,012,486","1,249,500",6,一般競争入札
