入札日,執行課名,事業担当課名,工事名,工事場所１市区町村,工事場所１地名１,工事場所１地名２,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,指名業者数,入札形式
20050331,海草建設部,住宅環境課,大新・和歌公園植栽管理業務,和歌山市,坊主丁、和歌浦２丁目,外地内,（株）松風園,"3,332,700",0,"3,160,500",15,指名競争入札
,海草建設部,河川課,和歌川ポンプ場外施設管理外合併業務,和歌山市,塩屋外,地内,大揚興業（株）,"55,532,400",0,"53,865,000",16,指名競争入札
,海草建設部,河川課,和歌川河川公園植栽管理業務,和歌山市,塩屋外,地内,（株）松風園,"6,261,150",0,"3,675,000",15,指名競争入札
,海草建設部,道路保全課,和歌山海南線道路排水ポンプ機械電気設備点検業務,和歌山市,中島外,地内,（株）土井電設工業,"2,000,250",0,"1,890,000",15,指名競争入札
,海草建設部,道路保全課,善明寺北島線道路排水ポンプ機械電気設備点検業務,和歌山市,粟,地内,近畿電設工業（株）,"2,207,100",0,"2,068,500",15,指名競争入札
,海草建設部,道路保全課,鳴神木広線道路排水ポンプ機械電気設備点検業務,和歌山市,太田,地内,（株）東亜電設工業,"2,301,600",0,"2,152,500",15,指名競争入札
20050329,伊都建設部,砂防課,橋本川　通常砂防工事,橋本市,矢倉脇,地内,（株）森本組,"61,872,300","47,641,650","61,215,000",14,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,谷奥工務店,"7,415,100","5,950,350","7,266,000",13,指名競争入札
,東牟婁新宮建設部,砂防課,本宮地区特定緊急地すべり対策工事,東牟婁郡　本宮町,本宮,地内,繁盛興業,"5,941,950","4,843,650","5,239,500",15,指名競争入札
20050328,日高建設部,管理整備課,由良港一ノハイ防波堤災害復旧工事,日高郡　日高町,小浦,地先,出口組,"61,059,600","48,584,550","60,847,500",12,指名競争入札
20050325,有田建設部,道路建設課,国道４８０号特殊改良一種工事,有田市,宮原町　須谷,地内,淺川道路（株）,"10,498,950","8,303,400","10,027,500",8,指名競争入札
,有田建設部,道路建設課,国道４８０号特殊改良一種工事,有田市,宮原町　須谷,地内,上喜建設,"17,229,450","13,167,000","17,010,000",20,指名競争入札
,有田建設部,道路建設課,国道４８０号特殊改良一種工事,有田郡　吉備町,田口,地内,丸義組,"7,947,450","6,038,550","7,822,500",16,指名競争入札
,有田建設部,道路建設課,吉備金屋線地方特定道路整備工事,有田郡　吉備町,下津野,地内,浅井組,"10,236,450","8,182,650","10,080,000",16,指名競争入札
,有田建設部,道路建設課,県営農免農道整備事業　吉備北部４期地区農免農道調査設計業務,有田郡　吉備町,田口,地内,応用地質（株）和歌山支店,"7,455,000",0,"6,825,000",15,指名競争入札
,有田建設部,道路建設課,吉備金屋線地方特定道路整備工事,有田郡　吉備町,下津野,地内,（株）溝畑組,"6,048,000","4,918,200","5,901,000",8,指名競争入札
,有田建設部,道路建設課,国道４８０号特殊改良一種工事,有田郡　吉備町,田口,地内,（株）中井組,"15,288,000","11,956,350","14,910,000",8,指名競争入札
,有田建設部,道路建設課,国道４８０号特殊改良一種工事,有田市,宮原町　須谷,地内,（株）東組,"18,338,250","14,333,550","17,535,000",8,指名競争入札
20050324,和歌山下津港湾事務所,管理整備課,和歌山下津港　港湾防災安全対策調査　業務,和歌山市,湊,地内,（株）世紀工業,"4,018,350",0,"2,604,000",11,指名競争入札
,和歌山下津港湾事務所,管理整備課,和歌山下津港　港湾防災安全対策測量　業務,和歌山市,湊,地内,和歌山航測（株）,"3,365,250",0,"3,192,000",15,指名競争入札
,和歌山下津港湾事務所,管理整備課,和歌山下津港　港湾防災安全対策設計　業務,和歌山市,湊,地内,和建技術（株）,"3,745,350",0,"3,465,000",13,指名競争入札
,那賀建設部,道路建設課,県営広域営農団地農道整備事業  紀の里地区  西脇工区道路（その２）工事,那賀郡　那賀町,西脇,地内,（株）二葉建設,"38,041,500","28,912,800","37,380,000",15,指名競争入札
,那賀建設部,下水道課,紀の川中流流域下水道（那賀処理区）那賀浄化センター管理棟建築工事,那賀郡　岩出町,中島,地内,三友・藤平特定建設工事共同企業体,"357,178,500","303,601,200","338,100,000",10,指名競争入札
,伊都建設部,道路建設課,和歌山橋本線　地方特定道路整備外合併工事,伊都郡　かつらぎ町,山崎,外地内,三矢推進工業（株）,"4,849,950","3,891,300","4,725,000",13,指名競争入札
,日高建設部,管理整備課,日高港港湾改良工事,日高郡　美浜町,浜ノ瀬,地先,（有）松本産業,"4,654,650","3,696,000","3,696,000",12,指名競争入札
,日高建設部,道路建設課,林道白馬線（改築第１工区）開設工事,日高郡　美山村,寒川,地内,坂本組,"32,811,450","24,844,050","32,476,500",17,指名競争入札
,日高建設部,道路建設課,林道白馬線（改築第１工区）舗装工事,日高郡　美山村,寒川,地内,北村建設（株）,"14,497,350","10,977,750","14,343,000",9,指名競争入札
,日高建設部,道路建設課,林道白馬線（改築第２工区）舗装工事,日高郡龍神村龍神、,有田郡清水町上湯川,地内,（株）共栄建設工業,"11,863,950","9,064,650","11,745,300",9,指名競争入札
,日高建設部,河川課,西川広域基幹河川改修工事,日高郡　美浜町,和田,地内,（株）土屋組,"77,980,350","61,282,200","60,375,000",20,指名競争入札
,日高建設部,河川課,西川広域基幹河川改修工事,日高郡　美浜町,和田,地内,（株）中村建設,"84,205,800","66,175,200","66,175,200",20,指名競争入札
,日高建設部,道路保全課,国道４２４号交通安全施設等整備工事,日高郡　みなべ町,西本庄,地内,（株）寺本電気,"3,011,400","2,232,300","2,950,500",12,指名競争入札
,日高建設部,道路建設課,林道白馬線（改築第２工区）開設工事,有田郡　清水町,上湯川,地内,（株）伊藤組,"63,828,450","48,694,800","63,189,000",20,指名競争入札
,東牟婁串本建設部,管理整備課,串本海岸　海岸高潮対策　工事,西牟婁郡　串本町,田並,地内,（株）関本工務店,"14,003,850","11,164,650","11,164,650",20,指名競争入札
,東牟婁串本建設部,管理整備課,古座海岸　海岸局部改良　工事,東牟婁郡　古座町,西向,地内,丸井建設,"4,643,100","3,508,050","3,508,050",8,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,（株）海邊組,"67,793,250","55,644,750","66,780,000",11,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,（株）三崎舗道,"14,035,350","11,574,150","13,744,500",6,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,新和建設（資）,"19,263,300","15,810,900","18,900,000",13,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,木下建設（株）,"19,263,300","15,810,900","18,795,000",12,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,（株）野平組,"65,274,300","53,577,300","64,365,000",13,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,桑原建設工業,"9,049,950","7,345,800","8,862,000",14,指名競争入札
,東牟婁新宮建設部,河川課,国道１６９号道路災害復旧工事,東牟婁郡　熊野川町,宮井,地内,（株）坪井組,"63,060,900","50,498,700","62,107,500",12,指名競争入札
,東牟婁新宮建設部,道路保全課,国道１６８号（猪岩橋）橋りよう補修工事,東牟婁郡　熊野川町,田長,地内,オリエンタル建設（株）和歌山営業所,"11,568,900","9,477,300","10,815,000",14,指名競争入札
,東牟婁新宮建設部,道路保全課,国道１６８号（相賀橋その６）橋りよう補修工事,新宮市,相賀,地内,ショーボンド建設（株）和歌山営業所,"29,515,500","23,417,100","26,250,000",15,指名競争入札
,東牟婁新宮建設部,道路保全課,国道１６８号（田長橋）橋りよう補修工事,東牟婁郡　熊野川町,田長,地内,（株）初島組,"14,903,700","12,505,500","14,280,000",14,指名競争入札
,東牟婁新宮建設部,道路保全課,国道１６８号（相賀橋その５）橋りよう補修工事,新宮市,相賀,地内,色川建設,"18,427,500","14,943,600","18,060,000",12,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,（株）海邊組,"14,660,100","12,089,700","14,364,000",6,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,（株）夏山組,"14,701,050","12,124,350","14,406,000",6,指名競争入札
,東牟婁新宮建設部,管理整備課,新宮港港湾改良工事,新宮市,三輪崎,地内,鈴木建設,"8,544,900","6,935,250","8,368,500",14,指名競争入札
20050323,公共建築課,公共建築課,和歌山県水産研究所（仮称）本館棟機械設備工事,西牟婁郡　串本町,串本,地内,（株）光和設備,"144,690,000","122,986,500","141,750,000",14,指名競争入札
,公共建築課,公共建築課,和歌山県水産研究所（仮称）本館棟電気設備工事,西牟婁郡　串本町,串本,地内,みふね電器産業（株）,"78,799,350","64,885,800","77,700,000",15,指名競争入札
