平成２５年度４月１日から平成２５年度３月３１日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課,工事番号,工事名,工事場所　,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20140331,西牟婁建設部,道路保全課,平成２５年度　道保交金　第６０２－３８号－２,国道３１１号（近露トンネル照明更新）交付金道路保全工事,田辺市中辺路町近露地内,明山デンキ,24921000,22361064,22377600,16,一般競争入札
20140331,西牟婁建設部,道路保全課,平成２５年度　道保交金　第６０２－３２号,国道３１１号交付金道路保全工事,田辺市鮎川地内,阿和建設工業株式会社,17844840,15986027,15992640,39,一般競争入札
20140331,西牟婁建設部,砂防課,平成２５年度　特緊地　第６－３０号－５,伏菟野地区特定緊急地すべり対策工事,田辺市伏菟野地内,株式会社吉本組,17366400,15638770,15657840,24,一般競争入札
20140331,西牟婁建設部,道路建設課,平成２５年度　道改交金　第１３５－３１号,芳養清川線道路改良測量業務,田辺市中芳養地内,大和測量株式会社,4082400,3096765,3672000,8,一般競争入札
20140326,海草建設部,海草建設部,平成２５年度　スポーツ　第１号－２,ビッグホエール駐車場整備工事,和歌山市手平２丁目地内,木下建設株式会社,35547120,32272922,32323320,15,一般競争入札（総合評価）
20140326,有田建設部,道路建設課,平成２５年度　地特　第２３号－３,井関御坊線地方特定道路整備設計業務,有田郡広川町上津木地内,有限会社岡本土木技術,1976400,1494176,1514484,3,一般競争入札
20140326,東牟婁新宮建設部,砂防課,平成２５年度　砂防　第２２号－２,荒木川砂防工事,新宮市佐野地内,株式会社果無建設,80679240,73222779,73297440,16,一般競争入札（総合評価）
20140326,東牟婁新宮建設部,道路建設課,平成２５年度　道改交金　第４号－５,国道１６９号道路改良工事,東牟婁郡北山村小松地内,株式会社下山組,41139360,37292394,37746000,10,一般競争入札（総合評価）
20140326,東牟婁串本建設部,道路保全課,平成２６年度　長命　第７号,国道３７１号外橋りょう長命化対策発注者支援業務,東牟婁郡古座川町蔵土外地内,和歌山航測株式会社,12074400,9912216,11707200,3,一般競争入札
20140326,東牟婁串本建設部,道路建設課,平成２５年度　道改交金　第１８号－２,国道３７１号道路改良工事,東牟婁郡古座川町真砂地内,松栄建設株式会社,47957400,43706680,43858800,10,一般競争入札（総合評価）
20140326,有田建設部,道路建設課,平成２５年度　道改交金　第２０号－１１,国道４２４号道路改良工事,有田郡有田川町西ケ峯地内,オーノ保安工業株式会社,582120,513685,515052,4,一般競争入札
20140326,伊都建設部,道路建設課,平成２５年度　道改交金　第２８－１号－１６,国道４８０号　道路改良工事,伊都郡高野町高野山地内,株式会社二葉建設,75543840,68503344,68656680,5,一般競争入札（総合評価）
20140326,有田建設部,道路建設課,平成２５年度　道改交金　第３２号－３,国道４８０号道路改良工事,有田郡有田川町長谷川地内,マトバ商店,15548760,13907168,13914720,33,一般競争入札
20140326,海草建設部,道路建設課,平成２５年度　地特　第１５号－７,三田三葛線外地方特定道路整備工事,和歌山市和田外地内,加建工業株式会社,9487800,8325524,8403048,10,一般競争入札
20140326,海草建設部,道路建設課,平成２５年度　公共街路　第１号－３２,西脇山口線（園部・六十谷）道路改良工事,和歌山市園部地内,角谷産業株式会社,19716480,17867982,17938800,6,一般競争入札
20140326,海草建設部,道路建設課,平成２５年度　公共街路　第１号－３１,西脇山口線（園部・六十谷）道路改良工事,和歌山市園部地内,木下建設株式会社,55675080,50478136,50517000,11,一般競争入札（総合評価）
20140326,那賀建設部,道路建設課,平成２５年度　道改交金　第１１３－３１号－３,泉佐野岩出線外１線道路改良測量業務,岩出市宮外地内,株式会社共和,1976400,1458051,1759320,9,一般競争入札
20140326,東牟婁新宮建設部,砂防課,平成２５年度　砂防　第２３号－２,大休場谷川砂防工事,新宮市熊野川町小口地内,株式会社夏山組,96938640,87073267,87242400,21,一般競争入札（総合評価）
20140326,伊都建設部,河川課,平成２５年度　２５年災　第１８号,丹生川　河川災害復旧工事,伊都郡高野町上筒香地内,永岡建設,49136760,44542193,45131040,4,一般競争入札（総合評価）
20140326,海草建設部,河川課,平成２５年度　防交金　第３０３号－２,土入川河川整備工事,和歌山市湊地内,株式会社関組,36086040,32974407,34279200,6,一般競争入札（総合評価）
20140326,東牟婁串本建設部,道路建設課,平成２５年度　地特　第３５号－７,那智勝浦古座川線地方特定道路整備工事,東牟婁郡古座川町山手地内,株式会社小森組,20699280,18552394,19656000,4,一般競争入札
20140326,東牟婁串本建設部,道路建設課,平成２６年度　地特　第４０号,那智勝浦古座川線地方特定道路整備発注者支援業務,東牟婁郡古座川町山手?中崎地内,和歌山航測株式会社,12074400,9477307,11707200,3,一般競争入札
20140326,有田建設部,道路建設課,平成２５年度　地特　第２６号－７,楠本小川線地方特定道路整備工事,有田郡有田川町青田地内,松浦舗道建設株式会社,3502440,3066898,3081240,13,一般競争入札
20140326,海草建設部,道路保全課,平成２６年度　長命　第１号,岬加太港線外橋りょう長命化対策発注者支援業務,和歌山市加太外地内,株式会社イーホッシュ,12182400,9900937,11664000,4,一般競争入札
20140326,有田建設部,河川課,平成２５年度　防交金　第１１７－３１号,有田川総合流域防災工事,有田市星尾地内,紀有建設,20196000,17973619,18011160,31,一般競争入札
20140326,有田建設部,道路建設課,平成２５年度　道改交金　第１２２号－９,有田湯浅線道路改良工事,有田郡湯浅町田地内,株式会社三﨑工業,17654760,16073701,16200000,27,一般競争入札
20140326,海草建設部,道路保全課,平成２６年度　道維修　第１号,和歌山海南線外道路排水設備点検維持修繕工事,和歌山市中島外地内,近畿電設工業株式会社,8244720,6970902,7103160,4,一般競争入札
20140326,伊都建設部,道路建設課,平成２５年度　道改交金　第１０４号－１１,和歌山橋本線　道路改良工事,伊都郡かつらぎ町東渋田地内,株式会社木村組,61080480,55158870,55286820,15,一般競争入札（総合評価）
20140326,伊都建設部,道路建設課,平成２５年度　道改交金　第１０４号－１０,和歌山橋本線（仮称２号橋上部） 道路改良工事,伊都郡かつらぎ町東渋田地内,大杉建設株式会社,33282360,30336410,30443040,2,一般競争入札（総合評価）
