平成２７年４月１日から平成２８年３月３１日までの分,,,,,,,,,,,
入札日,執行課名,事業担当課,工事番号,工事名,工事場所　,契約業者名,予定価格,最低制限価格若しくは調査基準価格,落札価格,応札業者数,入札形式
20160330,有田振興局建設部,道路局　道路建設課,平成２７年度　道改交金　第２０－３１号,国道４２４号道路改良工事,有田郡有田川町瀬井地内,株式会社有新建設,91040760,81419769,81494748,28,一般競争入札（総合評価）
20160330,有田振興局建設部,道路局　道路建設課,平成２７年度　道改交金　第２０－３１号－２,国道４２４号道路改良工事,有田郡有田川町瀬井地内,株式会社中屋組,43166520,38253277,38274120,21,一般競争入札（総合評価）
20160330,有田振興局建設部,道路局　道路建設課,平成２７年度　道改交金　第１２５－３１号－２,生石公園線道路改良工事,有田郡有田川町生石地内,株式会社山正組,94825080,85689058,85698000,26,一般競争入札（総合評価）
20160330,有田振興局建設部,港湾空港局　港湾漁港整備課,平成２７年度　港整　第７－５号－３,湯浅広港港湾施設整備工事,有田郡湯浅町湯浅地先,福興建設株式会社,22381920,19758611,19872000,7,一般競争入札
20160329,伊都振興局建設部,道路局　道路建設課,平成２７年度　道改交金　第１３号－１２,国道３７１号　道路改良工事,橋本市御幸辻地内,KYOHEI設備,4131000,3579083,3613680,6,一般競争入札
20160329,伊都振興局建設部,河川・下水道局　河川課,平成２７年度　２７年災　第１７号,国道３７１号　道路災害復旧外合併工事,伊都郡高野町南地内,株式会社イヌイエコシステム,4677480,4073901,4077000,8,一般競争入札
20160329,伊都振興局建設部,道路局　道路保全課,平成２７年度　道保交金　第１０１－３２号－２,国道３７１号（高野龍神スカイライン）　交付金道路保全工事,伊都郡かつらぎ町花園中南地内,株式会社天野組,19725120,17367668,17386920,32,一般競争入札
20160329,伊都振興局建設部,道路局　道路建設課,平成２７年度　道改交金　第１０１号－４,山田岸上線　道路改良工事,橋本市吉原地内,広門興業株式会社,5506920,4753663,4757400,16,一般競争入札
20160329,海草振興局建設部,道路局　道路建設課,平成２７年度　街特整　第１号－１２,西脇山口線地方特定道路整備工事,和歌山市園部地内,木下建設株式会社,2290680,1953823,1957716,20,一般競争入札
20160329,伊都振興局建設部,河川・下水道局　河川課,平成２７年度　２７年災　第９号,川津高野線　道路災害復旧工事,伊都郡高野町上筒香地内,有限会社西窪建設,7828920,6928810,6935760,10,一般競争入札
20160329,東牟婁振興局新宮建設部,河川・下水道局　河川課,平成２７年度　防交金　第４０４号－１９,太田川河川整備工事（平成２３年台風１２号災害復旧）,東牟婁郡那智勝浦町八尺鏡野地内,尾畑建設株式会社,27654480,24366442,24370200,22,一般競争入札
20160324,東牟婁振興局串本建設部,河川・下水道局　河川課,平成２８年度　漁修　第５号,串本漁港修繕外合併発注者支援業務,東牟婁郡串本町串本外地内,有限会社熊野路測量設計,13500000,10744688,10839960,6,一般競争入札
20160324,伊都振興局建設部,河川・下水道局　砂防課,平成２８年度　砂防　第１０１号,慶賀野地区　砂防発注者支援業務,橋本市慶賀野地内,和建技術株式会社,13608000,10836386,10856268,10,一般競争入札
20160324,西牟婁振興局建設部,河川・下水道局　河川課,平成２７年度　防交金　第２０８号,左会津川河川整備外発注者支援業務,田辺市古尾外地内,株式会社データ技研,13608000,10839682,11086848,8,一般競争入札
